Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Chad, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.09, , , , , 0.1, , , , , , , , , , , , , , , 
Chad, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.02, 0.02, 0.03, 0.04, 0.04, 0.05, 0.06, 0.06, 0.07, 0.08, 0.08, , 0.09, 0.09, 0.1, 0.1, , 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Chile, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , 0.84, , , , , , , , , , , , , , , , , 2.21, , , , , , , , , , , , , , 4.74, , , , , , , , , , 1.66, , , , 
Chile, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.32, , , , , , , , , , , , , , , , , , , , 
Chile, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , 0.92, 1, 1.08, 1.16, 1.24, 1.32, 1.4, 1.49, 1.57, 1.65, 1.73, 1.81, 1.89, 1.97, 2.05, 2.13, , 2.23, 2.24, 2.25, 2.27, 2.28, 2.3, 2.31, , 2.73, 3.13, 3.53, 3.94, 4.34, , 4.44, 4.13, 3.82, 3.51, 3.2, 2.89, 2.59, 2.28, 1.97, , 1.66, 1.66, 1.66, 1.66
China, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 45.73, , , , 33.4, , , , , , 50, , , 92.55, , , , , , , 113.9, , , , , 128.6, 134.4, 140.3, 139.7, 139.1, 144.7, 146.2, 142.4, 140.6, 135.6, 133.5, 130.8, 127.7, 126.16, 121.76, 103.04
China, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , 36.17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
China, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 42.65, 39.56, 36.48, , , 38.94, 41.7, 44.47, 47.23, , 64.18, 78.37, , 95.6, 98.65, 101.7, 104.75, 107.8, 110.85, , 116.84, 119.78, 122.72, 125.66, , , , , , , , , , , , , , , , 
Colombia, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.36, , , , , , , , 2.24, , , , , , , , 3.73, , 0.39, 0.39, 0.36
Colombia, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.59, 0.83, 1.07, 1.3, 1.54, 1.77, 2.01, , 2.43, 2.61, 2.8, 2.99, 3.17, 3.36, 3.54, , 2.06, , , 
Comoros, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comoros, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Congo, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , 0.01, , , , , , , , , , , , , , , , , , 
Congo, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.02, , , , , , , , , , , , , , , 
Congo, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, , 0.01, 0.02, , 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02
Costa Rica, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.09, 0.14, 0.17, 0.24, , 0.22, 0.23, 0.23, 0.23
Costa Rica, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.23, , , , 
Croatia, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.19, 0.17, 0.19, 0.73, 0.73, 0.7
Croatia, Industrial water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.07, 0.09, 0.1, 0.11, 0.12, 0.13, , , 0.14, , , 0.16, , , , , , 
Croatia, Industrial water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.06, , , , , , , 0.15, 0.14, , 0.15, 0.13, , , , , , , 
Cuba, Industrial water withdrawal, 10^9 m3/year, , , , , , , , , , , , 0.16, , , , , , , , , , , , , , , , , , , , 0.77, , , , , , , , , , , , , , , , , , 0.74, , , , , , , 
Cuba, Industrial water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.76, , , , , , , , , , , , , 
