Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Cambodia, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.05, , , , , , , , , , , , , , 
Cambodia, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05, 2.05
Cameroon, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.14, , , , , 0.14, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cameroon, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.74, , , , , , , , , , , , , , , , , , , , 
Cameroon, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.14, 0.14, 0.14, 0.14, , 0.21, 0.29, 0.36, 0.44, 0.51, 0.59, 0.66, , 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74, 0.74
Canada, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.64, , 3.86, , , 
Canada, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.75, , , , , , , , , , 
Canada, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.01, 4.04, 4.06, 4.08, , 3.94, 3.78, 3.62, 3.46, 3.29, 3.13, 2.97, 2.81, 2.65, 2.48, , 2.25, 2.18, , 4.33, 3.9, 3.48, 3.06, , 3.25, , 3.86, 3.86, 3.86
Canada, Agricultural water withdrawal, 10^9 m3/year, X, , , , , , , , , , , , , , , , , , , , , , , , , , , 3.99, , , , , 4.1, , , , , , , , , , , 2.32, , , , , , , , , , , , , 
Central African Republic, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Central African Republic, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chad, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chad, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.67, , , 0.67, , , , , , , , , , , , , , , 
Chad, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , 0.18, 0.22, 0.25, 0.29, 0.32, 0.36, 0.39, 0.43, 0.46, 0.5, 0.53, 0.57, 0.6, 0.64, , 0.67, 0.67, , 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67, 0.67
Chile, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 29.42, , , , , , , , , , , , , , 
Chile, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42, 29.42
China, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 391.2, , , , 415.2, , , , , , 415, , , 407.7, , , , , , , 378.4, , , , , 358, 366.4, 360, 366.4, 372.3, 368.9, 374.4, 388, 392.2, 386.9, 385.2, 376.8, 376.64, 369.31, 368.23, 361.24
China, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , 415.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
China, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 397.2, 403.2, 409.2, , , 415.16, 415.12, 415.08, 415.04, , 412.57, 410.13, , 403.51, 399.33, 395.14, 390.96, 386.77, 382.59, , 374.32, 370.24, 366.16, 362.08, , , , , , , , , , , , , , , , 
Colombia, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.31, , , , , , , , , , , , , , , , , , , , 21, , 23.17, 24.17, 25.04
Colombia, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.92, , , , , , , , 6.39, , , , , , , , , , , , 
Colombia, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.71, 4.11, 4.52, , 5.1, 5.29, 5.47, 5.66, 5.84, 6.02, 6.21, , 8.22, 10.04, 11.87, 13.7, 15.52, 17.35, 19.17, , 22.08, , , 
Comoros, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comoros, Agricultural water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Congo, Agricultural water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Congo, Agricultural water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
