Country, Variable, Unit, Symbol, "1964", "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Denmark, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , 146.01, 164.66, 183.15, 201.5, 219.78, 238.01, 237.15, 236.41, 235.83, 235.41, 235.17, 254.62, 274.23, 293.97, 313.72, 333.38, 298.44, 263.49, 228.41, 236.92, 245.28, 233.28, 221.23, 209.16, 197.12, 185.14, 186.75, 176.69, 171.84, 155.53, 139.4, 131.81, 124.31, 122.67, 125.2, 118.74, 127.91, 104.35, 125.23, 117.35, 129.33, 133.21, 127.52, 147.13, 144, 142.7, 155.3, 156.27, 192.24, 163.83, 168.58
Djibouti, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , 18.8, 19.22, 19.31, 19.28, 19.39, 19.76, 20.43, 21.35, 22.42, 23.46, 24.32, 24.96, 25.42, 25.77, 26.1, 26.48, 25.92, 25.44, 25.01, 24.62, 24.26, 23.91, 23.59, 23.27, 22.95, 22.61, 22.26, 21.89, 21.51, 21.14, 20.79, 20.45, 20.13, 19.81, 19.52, 19.23
Dominica, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 234.01, 235.13, 236.52, 237.7, 238.33, 238.3, 237.7, 236.8, 235.86, 243.19, 250.76, 258.49, 266.38, 274.28, 282.18, 282.02, 281.83, 281.63, 281.35, 280.97, 280.48, 279.88, 279.23, 278.52, 277.83
Dominican Republic, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 574.29, 579.86, 585.33, 590.71, 596.03, 601.28, 629.94, 657.94, 685.3, 712.02, 738.1, 768.39, 797.99, 826.93, 855.23, 882.92, 873.06, 863.48, 854.22, 845.32, 836.83
Ecuador, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 738.78, 733.93, 729.51, 725.39, 721.38, 717.35, 705.44, 693.73, 682.32, 671.3, 660.71, 650.62, 640.94, 631.42, 621.75, 611.77, 601.41, 590.87, 580.53, 570.86, 562.15
Egypt, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , 1250.35, 1232.37, 1214.16, 1195.62, 1176.63, 1157.19, 1137.38, 1117.35, 1097.12, 1076.75, 1056.33, 1035.85, 1015.55, 995.96, 977.7, 961.08, 946.17, 932.67, 920.16, 932.7, 944.4, 955.23, 965.3, 974.73, 983.68, 992.28, 987.42, 982.58, 977.81, 973.14, 968.57, 964.18, 959.84, 955.09, 949.41, 942.47, 847.64, 836.59, 825.75, 812.83, 799.42, 780.86, 803.59, 787.41, 772, 757.32
El Salvador, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 134.59, 147.5, 160.15, 172.62, 184.97, 197.23, 209.42, 221.57, 233.68, 257.18, 280.56, 303.83, 326.97, 349.96, 348.39, 346.88, 345.41, 343.96, 342.5, 341.03, 339.54, 338.01, 336.45, 334.86, 333.22, 331.55, 329.87, 328.19, 326.54
Equatorial Guinea, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , 26.11, 26.76, 27.39, 27.93, 28.36, 28.72, 29, 29.19, 29.3, 29.32, 29.25, 29.12, 28.93, 28.7, 28.31, 27.89, 27.44, 26.95, 26.42, 25.24, 24.1, 23, 21.96, 20.98, 20.06, 19.2, 18.39, 17.64, 16.94, 16.29, 15.69, 15.13, 14.6, 14.11
Eritrea, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 180.33, 191.83, 200.6, 207.56, 213.99, 205.9, 199.44, 194.22, 190.02, 186.54, 183.57, 181.08, 179.07, 177.36, 175.75, 174.1, 172.36, 170.53, 168.56, 166.42, 164.11
Estonia, Total water withdrawal per capita, m3/inhab/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1729.34, 1482.47, 1222.98, 947.65, 976.07, 999.97, 1020.68, 1040.93, 1062.86, 1084.47, 1021.89, 1134.78, 1172.35, 1148.54, 1165.32, 1364.28, 1196.85, 1031.57, 1382.9, 1410.71, 1232.66, 1322.46, 1306.52, 1201.33, 1330.36, 1352.8, 1215.9, 759.06, 642.99
