Country, Variable, Unit, Symbol, "1965", "1966", "1967", "1968", "1969", "1970", "1971", "1972", "1973", "1974", "1975", "1976", "1977", "1978", "1979", "1980", "1981", "1982", "1983", "1984", "1985", "1986", "1987", "1988", "1989", "1990", "1991", "1992", "1993", "1994", "1995", "1996", "1997", "1998", "1999", "2000", "2001", "2002", "2003", "2004", "2005", "2006", "2007", "2008", "2009", "2010", "2011", "2012", "2013", "2014", "2015", "2016", "2017", "2018", "2019", "2020"
Chile, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , 1.01, , , , , , , , , , , , , , , , , 1.09, , , , , , , , , , , , , , 1.27, , , , , , , , , , 1.29, , , , 
Chile, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.04, , , , , , , , , , , , , , , , , , , , 
Chile, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , 1.01, 1.02, 1.02, 1.03, 1.03, 1.04, 1.04, 1.05, 1.05, 1.06, 1.06, 1.07, 1.07, 1.08, 1.08, 1.09, , 1.09, 1.08, 1.08, 1.07, 1.06, 1.06, 1.05, , 1.08, 1.12, 1.16, 1.19, 1.23, , 1.27, 1.27, 1.27, 1.28, 1.28, 1.28, 1.28, 1.29, 1.29, , 1.29, 1.29, 1.29, 1.29
China, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , 6.77, , , , 28.63, , , , , , 35, , , 25.16, , , , , , , 57.5, , , , , 67.53, 69.4, 71, 72.9, 74.8, 76.6, 79, 72.9, 75.01, 76.7, 79.4, 96.42, 100, 106.08, 112.13, 117.01
China, Municipal water withdrawal, 10^9 m3/year, E, , , , , , , , , , , , , , , , , , , , , 29.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
China, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , 12.23, 17.7, 23.16, , , 30.75, 31.81, 32.88, 33.94, , 31.72, 28.44, , 29.78, 34.4, 39.02, 43.64, 48.26, 52.88, , 59.51, 61.51, 63.52, 65.52, , , , , , , , , , , , , , , , 
Colombia, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.47, , , , , , , , 3.13, , , , , , , 4, 3.49, 3.56, 3.59, 3.68, 3.72
Colombia, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.55, 2.63, 2.72, 2.8, 2.88, 2.97, 3.05, , 3.26, 3.38, 3.51, 3.63, 3.75, 3.88, , , , , , 
Comoros, Municipal water withdrawal, 10^9 m3/year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Comoros, Municipal water withdrawal, 10^9 m3/year, I, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
